source_sheet,SCHOOL,POSITION,NAME,HEIGHT,WEIGHT,CLASS,BIRTHPLACE
Big 10,UCLA,TE1,Joshua Phifer,"6' 6""",259 lbs,JR,"Peachtree City, GA"
Big 10,UCLA,TE2,Brayden Loftin,"6' 5""",230 lbs,SR,"Omaha, NE"
Big 10,UCLA,K,Mateen Bhaghani,"6' 1""",175 lbs,SR,"San Diego, CA"
Big 10,USC,QB1,Jayden Maiava,"6' 4""",230 lbs,SR,"Palolo, HI"
Big 10,USC,QB2,Sam Huard,"6' 1""",210 lbs,SR,"Bellevue, WA"
Big 10,USC,RB1,Waymond Jordan,"5' 9""",210 lbs,SR,"Pensacola, FL"
Big 10,USC,RB2,King Miller,"6' 0""",210 lbs,SO,"Calabasas, CA"
Big 10,USC,RB3,Riley Wormley,"5' 9""",180 lbs,SO,"Euless, TX"
Big 10,USC,WR1,Terrell Anderson,"6' 2""",204 lbs,JR,"Greensboro, NC"
Big 10,USC,WR2,Tanook Hines,"6' 0""",195 lbs,SO,"Houston, TX"
Big 10,USC,WR3,Zacharyus Williams,"6' 2""",195 lbs,JR,"Carson, CA"
Big 10,USC,WR4,Corey Simms,"6' 3""",205 lbs,SO,"St. Louis, MO"
Big 10,USC,TE1,Mark Bowman,"6' 5""",225 lbs,FR,"Santa Ana, CA"
Big 10,USC,TE2,Tucker Ashcraft,"6' 5""",260 lbs,SR,"Seattle, WA"
Big 10,USC,K,Ryon Sayeri,"5' 11""",180 lbs,SO,"West Hills, CA"
Big 10,WASHINGTON,QB1,Demond Williams Jr.,"5' 11""",190 lbs,JR,"Chandler, AZ"
Big 10,WASHINGTON,QB2,Elijah Brown,"6' 2""",205 lbs,SO,"Huntington Beach, CA"
Big 10,WASHINGTON,RB1,Jayden Limar,"5' 11""",205 lbs,SR,"Lake Stevens, WA"
Big 10,WASHINGTON,RB2,Jordan Washington,"5' 11""",185 lbs,SO,"Long Beach, CA"
Big 10,WASHINGTON,RB3,Brian Bonner Jr.,"6' 0""",185 lbs,FR,"Valencia, CA"
Big 10,WASHINGTON,WR1,Christian Moss,"6' 3""",199 lbs,SR,"Kennesaw, GA"
Big 10,WASHINGTON,WR2,Rashid Williams,"6' 1""",190 lbs,JR,"Brentwood, CA"
Big 10,WASHINGTON,WR3,Dezmen Roebuck,"5' 11""",175 lbs,SO,"Marana, AZ"
Big 10,WASHINGTON,WR4,Chris Lawson,"6' 1""",185 lbs,SO,"San Francisco, CA"
Big 10,WASHINGTON,TE1,Decker DeGraaf,"6' 3""",245 lbs,JR,"San Dimas, CA"
Big 10,WASHINGTON,TE2,Kade Eldridge,"6' 4""",250 lbs,JR,"Lynden, WA"
Big 10,WASHINGTON,K,Tyler Robles,"5' 7""",175 lbs,JR,"Encinitas, CA"
Big 10,WISCONSIN,QB1,Colton Joseph,"6' 2""",200 lbs,JR,"Newport Beach, CA"
Big 10,WISCONSIN,QB2,Deuce Adams,"6' 2""",190 lbs,SO,"Austin, TX"
Big 10,WISCONSIN,RB1,Abu Sama III,"5' 11""",210 lbs,SR,"Des Moines, IA"
Big 10,WISCONSIN,RB2,Darrion Dupree,"5' 10""",212 lbs,JR,"Chicago, IL"
Big 10,WISCONSIN,RB3,Bryan Jackson II,"6' 0""",235 lbs,JR,"McKinney, TX"
Big 10,WISCONSIN,WR1,Eugene Hilton Jr.,"6' 0""",201 lbs,SO,"Zionsville, IN"
Big 10,WISCONSIN,WR2,Chris Brooks Jr.,"6' 2""",222 lbs,SR,"St. Louis, MO"
Big 10,WISCONSIN,WR3,Tyrell Henry,"6' 0""",178 lbs,SR,"Roseville, MI"
Big 10,WISCONSIN,WR4,Jaylon Domingeaux,"6' 2""",210 lbs,SR,"Lafayette, LA"
Big 10,WISCONSIN,TE1,Jacob Harris,"6' 4""",255 lbs,JR,"Westerville, OH"
Big 10,WISCONSIN,TE2,Grant Stec,"6' 6""",255 lbs,SO,"Sleepy Hollow, IL"
Big 10,WISCONSIN,K,Gavin Lahm,"6' 0""",217 lbs,SR,"Kaukauna, WI"
ACC,BOSTON COLLEGE,QB1,Mason McKenzie,"6' 1""",200 lbs,JR,"Caledonia, MI"
ACC,BOSTON COLLEGE,QB2,Grayson Wilson,"6' 3""",210 lbs,FR,"North Little Rock, AR"
ACC,BOSTON COLLEGE,RB1,Evan Dickens,"5' 10""",195 lbs,JR,"Marietta, GA"
ACC,BOSTON COLLEGE,RB2,Nolan Ray,"6' 0""",210 lbs,JR,"Southfield, MI"
ACC,BOSTON COLLEGE,RB3,Bo MacCormack III,"5' 10""",198 lbs,SO,"Westford, MA"
ACC,BOSTON COLLEGE,WR1,Javarius Green,"5' 10""",205 lbs,SO,"Shelby, NC"
ACC,BOSTON COLLEGE,WR2,Reed Swanson,"6' 6""",210 lbs,JR,"Glen Gardner, NJ"
ACC,BOSTON COLLEGE,WR3,Jaedn Skeete,"6' 2""",188 lbs,SR,"Hyde Park, MA"
ACC,BOSTON COLLEGE,WR4,Dawson Pough,"6' 0""",205 lbs,SO,"Leesburg, VA"
ACC,BOSTON COLLEGE,TE1,Kaelan Chudzinski,"6' 3""",236 lbs,SO,"Needham, MA"
ACC,BOSTON COLLEGE,TE2,Cameron Kossmann,"6' 5""",245 lbs,SO,"St. Louis, MO"
ACC,BOSTON COLLEGE,K,Luca Lombardo,"6' 0""",180 lbs,SR,"Westport, CT"
ACC,CALIFORNIA,QB1,Jaron-Keawe Sagapolutele,"6' 3""",225 lbs,SO,"Ewa Beach, HI"
ACC,CALIFORNIA,QB2,Jackson Brousseau,"6' 4""",225 lbs,JR,"Lehi, UT"
ACC,CALIFORNIA,RB1,Adam Mohammed,"6' 0""",220 lbs,JR,"Glendale, AZ"
ACC,CALIFORNIA,RB2,Ashten Emory,"5' 11""",205 lbs,SO,"Dallas, TX"
ACC,CALIFORNIA,RB3,Carter Vegas,"5' 11""",210 lbs,SO,"Santa Maria, CA"
ACC,CALIFORNIA,WR1,Ian Strong,"6' 4""",210 lbs,SR,"Coram, NY"
ACC,CALIFORNIA,WR2,Chase Hendricks,"6' 0""",200 lbs,SR,"St. Louis, MO"
ACC,CALIFORNIA,WR3,Cooper Perry,"6' 1""",195 lbs,SO,"Scottsdale, AZ"
ACC,CALIFORNIA,WR4,Jordan King,"6' 2""",215 lbs,SR,"Beaverton, OR"
ACC,CALIFORNIA,TE1,Dorian Thomas,"6' 4""",250 lbs,JR,"Kent, WA"
ACC,CALIFORNIA,TE2,Mason Mini,"6' 4""",240 lbs,JR,"Pacifica, CA"
ACC,CALIFORNIA,K,Chase Meyer,"5' 10""",185 lbs,SR,"Los Angeles, CA"
ACC,CLEMSON,QB1,Christopher Vizzina,"6' 4""",210 lbs,JR,"Birmingham, AL"
ACC,CLEMSON,QB2,Chris Denson,"6' 2""",190 lbs,SO,"Plant City, FL"
ACC,CLEMSON,RB1,Gideon Davidson,"6' 0""",200 lbs,SO,"Lynchburg, VA"
ACC,CLEMSON,RB2,Chris Johnson Jr.,"6' 0""",190 lbs,SR,"Fort Lauderdale, FL"
ACC,CLEMSON,RB3,David Eziomume,"6' 0""",215 lbs,SO,"Acworth, GA"
ACC,CLEMSON,WR1,Bryant Wesco Jr.,"6' 2""",195 lbs,JR,"Midlothian, TX"
ACC,CLEMSON,WR2,T.J. Moore,"6' 3""",200 lbs,JR,"Key West, FL"
ACC,CLEMSON,WR3,Naeem Burroughs,"5' 11""",185 lbs,FR,"Jacksonville, FL"
ACC,CLEMSON,WR4,Cole Turner,"6' 1""",190 lbs,SR,"Vestavia Hills, AL"
ACC,CLEMSON,TE1,Christian Bentancur,"6' 4""",240 lbs,SO,"Lakemoor, IL"
ACC,CLEMSON,TE2,Olsen Patt-Henry,"6' 3""",245 lbs,SR,"Naples, FL"
ACC,CLEMSON,K,Nolan Hauser,"6' 1""",200 lbs,JR,"Cornelius, NC"
ACC,DUKE,QB1,Walker Eget,"6' 3""",235 lbs,SR,"Santa Clarita, CA"
ACC,DUKE,QB2,Dan Mahan,"6' 2""",190 lbs,SO,"Burlington, NC"
ACC,DUKE,RB1,Nate Sheppard,"5' 10""",195 lbs,SO,"Mandeville, LA"
ACC,DUKE,RB2,CJ Campbell Jr.,"5' 10""",200 lbs,SR,"Kaplan, LA"
ACC,DUKE,RB3,Wilhelm Daal,"6' 1""",220 lbs,SR,"Amityville, NY"
ACC,DUKE,WR1,Jared Richardson,"6' 2""",220 lbs,SR,"Blakeslee, PA"
ACC,DUKE,WR2,Javen Nicholas,"5'9""",190 lbs,SR,"New Orleans, LA"
ACC,DUKE,WR3,Jayden Moore,"5' 8""",185 lbs,SO,"Sykesville, MD"
ACC,DUKE,WR4,Jaivon Solomon,"6' 1""",170 lbs,SO,"Gray, GA"
ACC,DUKE,TE1,Jeremiah Hasley,"6' 3""",245 lbs,SR,"Gibsonia, PA"
ACC,DUKE,TE2,Nate Kurisky,"6'3""",240 lbs,SR,"Leesburg, VA"
ACC,DUKE,K,Cosme Salas,"5'7""",185 lbs,JR,"Palmetto Bay, FL"
ACC,FLORIDA STATE,QB1,Ashton Daniels,"6'2""",233 lbs,SR,"Buford, GA"
